,,,,,,,,,,,,,,,,,,
DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
6/5/21,0100,Saturday,,W,SHORT,ST,,2,1,0,1,CLOUDY,DRY,true,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
6/8/21,1611,Tuesday,,W,7TH,ST,,2,1,0,1,RAINING,WET,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/10/21,0757,Thursday,800,N,LIMESTONE,,,2,1,0,0,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/16/21,1515,Wednesday,,,GRASSY CREEK,DR,MAN O WAR BLVD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/17/21,0800,Thursday,300,,FOREMAN,AVE,,2,1,0,0,CLEAR,DRY,true,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/24/21,1633,Thursday,,E,NEW CIRCLE,RD,EASTLAND PKWY,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/2/21,1940,Friday,,,FEATHERSTON,DR,,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
7/8/21,1708,Thursday,,W,NEW CIRCLE,RD,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/11/21,1353,Sunday,,,SUNSET,DR,TATES CREEK RD,2,1,0,0,CLOUDY,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/16/21,2325,Friday,,,RICHMOND,RD,,2,1,0,1,CLEAR,DRY,true,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
7/29/21,2008,Thursday,1100,,WINCHESTER,RD,,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/30/21,1735,Friday,,,CONSTITUTION,ST,LIMESTONE ,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/6/21,2041,Friday,3800,,KENESAW,DR,,2,1,0,0,CLEAR,DRY,false,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
8/8/21,0715,Sunday,,,MAN O WAR,BLVD,SIR BARTON WAY,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/9/21,1533,Monday,,,EUCLID,AVE,,2,1,0,1,RAINING,WET,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/11/21,1706,Wednesday,1300,,VERSAILLES,RD,,2,1,0,0,CLEAR,DRY,false,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/11/21,1956,Wednesday,,,GEORGETOWN,ST,,2,1,0,1,CLEAR,DRY,true,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/24/21,2240,Tuesday,,E,LOUDON,AVE,LIMESTONE ,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
8/28/21,2112,Saturday,,,NEWTOWN SPRINGS,DR,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
9/10/21,0958,Friday,,,ROSE,ST,AVENUE OF CHAMPIONS ,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/12/21,2103,Sunday,,,LOCUST,AVE,,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED
9/13/21,1750,Monday,,N,BROADWAY,,5TH ST,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/14/21,1737,Tuesday,,,WOODHILL,DR,CODELL DR,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/18/21,2021,Saturday,,,WINCHESTER,RD,LIBERTY RD,2,1,0,1,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
9/22/21,0018,Wednesday,,S,BROADWAY,,,2,1,0,1,CLOUDY,WET,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF
9/25/21,2353,Saturday,,,MIDLAND,AVE,MAIN ST,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
10/3/21,0545,Sunday,100,E,NEW CIRCLE,RD,GOLDEN WAY,2,1,0,1,RAINING,WET,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
10/4/21,1450,Monday,1000,S,BROADWAY,,,2,1,0,0,CLOUDY,DRY,true,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
10/7/21,1449,Thursday,,,NICHOLASVILLE,RD,,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
10/13/21,2033,Wednesday,,,BUCKHORN,DR,HARTSTON DR,2,1,0,0,RAINING,WET,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
10/14/21,0050,Thursday,,E,NEW CIRCLE,RD,MEADOW LN,2,1,0,0,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
10/15/21,1018,Friday,,E,7TH,ST,MARTIN LUTHER KING BLVD,2,1,0,1,CLEAR,DRY,true,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
